"ImageId","OutputFile","Words","Combination","Character","Status","SelectionRule","SourceUrl"
"img-07085","assets/gallery/generated/img-07085.png","閏月","ㄖㄨㄣˋ","閏","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%96&SN2=%E3%84%96%E3%84%A8%E3%84%A3%CB%8B&word=%E9%96%8F"
"img-07086","assets/gallery/generated/img-07086.png","閏年","ㄖㄨㄣˋ","閏","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%96&SN2=%E3%84%96%E3%84%A8%E3%84%A3%CB%8B&word=%E9%96%8F"
"img-07087","assets/gallery/generated/img-07087.png","閑","ㄒㄧㄢˊ","閑","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%A2%CB%8A&word=%E9%96%91"
"img-07088","assets/gallery/generated/img-07088.png","閑暇","ㄒㄧㄢˊ","閑","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%A2%CB%8A&word=%E9%96%91"
"img-07089","assets/gallery/generated/img-07089.png","閒人","ㄒㄧㄢˊ","閒","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%A2%CB%8A&word=%E9%96%92"
"img-07090","assets/gallery/generated/img-07090.png","閒事","ㄒㄧㄢˊ","閒","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%A2%CB%8A&word=%E9%96%92"
"img-07091","assets/gallery/generated/img-07091.png","閒書","ㄒㄧㄢˊ","閒","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%A2%CB%8A&word=%E9%96%92"
"img-07092","assets/gallery/generated/img-07092.png","間奏","ㄐㄧㄢ","間","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%A2&word=%E9%96%93"
"img-07093","assets/gallery/generated/img-07093.png","間接","ㄐㄧㄢ","間","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%A2&word=%E9%96%93"
"img-07094","assets/gallery/generated/img-07094.png","間歇","ㄐㄧㄢ","間","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%A2&word=%E9%96%93"
"img-07095","assets/gallery/generated/img-07095.png","閔","ㄇㄧㄣˇ","閔","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%E3%84%87%E3%84%A7%E3%84%A3%CB%87&word=%E9%96%94"
"img-07096","assets/gallery/generated/img-07096.png","陲","ㄔㄨㄟˊ","陲","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%94&SN2=%E3%84%94%E3%84%A8%E3%84%9F%CB%8A&word=%E9%99%B2"
"img-07097","assets/gallery/generated/img-07097.png","陽文","ㄧㄤˊ","陽","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%A4%CB%8A&word=%E9%99%BD"
"img-07098","assets/gallery/generated/img-07098.png","陽世","ㄧㄤˊ","陽","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%A4%CB%8A&word=%E9%99%BD"
"img-07099","assets/gallery/generated/img-07099.png","陽傘","ㄧㄤˊ","陽","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%A4%CB%8A&word=%E9%99%BD"
"img-07100","assets/gallery/generated/img-07100.png","隄","ㄊㄧˊ","隄","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A7%CB%8A&word=%E9%9A%84"
"img-07101","assets/gallery/generated/img-07101.png","隅","ㄩˊ","隅","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A9&SN2=%E3%84%A9%CB%8A&word=%E9%9A%85"
"img-07102","assets/gallery/generated/img-07102.png","隆冬","ㄌㄨㄥˊ","隆","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%E3%84%8C%E3%84%A8%E3%84%A5%CB%8A&word=%E9%9A%86"
"img-07103","assets/gallery/generated/img-07103.png","隆乳","ㄌㄨㄥˊ","隆","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%E3%84%8C%E3%84%A8%E3%84%A5%CB%8A&word=%E9%9A%86"
