"ImageId","OutputFile","Words","Combination","Character","Status","SelectionRule","SourceUrl"
"img-00055","assets/gallery/generated/img-00055.png","睡覺","ㄕㄨㄟˋ","睡","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8%E3%84%9F%CB%8B&word=%E7%9D%A1"
"img-00056","assets/gallery/generated/img-00056.png","腳趾","ㄐㄧㄠˇ","腳","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%A0%CB%87&word=%E8%85%B3"
"img-00057","assets/gallery/generated/img-00057.png","葉子","ㄧㄝˋ","葉","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%9D%CB%8B&word=%E8%91%89"
"img-00058","assets/gallery/generated/img-00058.png","葡萄","ㄆㄨˊ","葡","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%86&SN2=%E3%84%86%E3%84%A8%CB%8A&word=%E8%91%A1"
"img-00059","assets/gallery/generated/img-00059.png","裙子","ㄑㄩㄣˊ","裙","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%91&SN2=%E3%84%91%E3%84%A9%E3%84%A3%CB%8A&word=%E8%A3%99"
"img-00060","assets/gallery/generated/img-00060.png","鉛筆","ㄑㄧㄢ","鉛","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%91&SN2=%E3%84%91%E3%84%A7%E3%84%A2&word=%E9%89%9B"
"img-00061","assets/gallery/generated/img-00061.png","熊貓","ㄒㄩㄥˊ","熊","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A9%E3%84%A5%CB%8A&word=%E7%86%8A"
"img-00062","assets/gallery/generated/img-00062.png","蜜蜂","ㄇㄧˋ","蜜","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%E3%84%87%E3%84%A7%CB%8B&word=%E8%9C%9C"
"img-00063","assets/gallery/generated/img-00063.png","餅乾","ㄅㄧㄥˇ","餅","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%A7%E3%84%A5%CB%87&word=%E9%A4%85"
"img-00064","assets/gallery/generated/img-00064.png","鼻子","ㄅㄧˊ","鼻","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%A7%CB%8A&word=%E9%BC%BB"
