"BaseSymbol","Combination","Character","SourceUrl"
"ㄊ","ㄊㄜˋ","忑","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9C%CB%8B#selectL"
"ㄊ","ㄊㄜˋ","忒","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9C%CB%8B#selectL"
"ㄊ","ㄊㄜˋ","特","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9C%CB%8B#selectL"
"ㄊ","ㄊㄜˋ","慝","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9C%CB%8B#selectL"
"ㄊ","ㄊㄞ","胎","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E#selectL"
"ㄊ","ㄊㄞ","苔","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E#selectL"
"ㄊ","ㄊㄞˊ","抬","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8A#selectL"
"ㄊ","ㄊㄞˊ","邰","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8A#selectL"
"ㄊ","ㄊㄞˊ","苔","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8A#selectL"
"ㄊ","ㄊㄞˊ","跆","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8A#selectL"
"ㄊ","ㄊㄞˊ","臺","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8A#selectL"
"ㄊ","ㄊㄞˊ","颱","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8A#selectL"
"ㄊ","ㄊㄞˊ","駘","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8A#selectL"
"ㄊ","ㄊㄞˊ","檯","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8A#selectL"
"ㄊ","ㄊㄞˋ","太","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8B#selectL"
"ㄊ","ㄊㄞˋ","汰","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8B#selectL"
"ㄊ","ㄊㄞˋ","肽","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8B#selectL"
"ㄊ","ㄊㄞˋ","泰","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8B#selectL"
"ㄊ","ㄊㄞˋ","鈦","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8B#selectL"
"ㄊ","ㄊㄞˋ","態","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8B#selectL"
"ㄊ","ㄊㄠ","叨","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0#selectL"
"ㄊ","ㄊㄠ","掏","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0#selectL"
"ㄊ","ㄊㄠ","搯","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0#selectL"
"ㄊ","ㄊㄠ","滔","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0#selectL"
"ㄊ","ㄊㄠ","絛","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0#selectL"
"ㄊ","ㄊㄠ","韜","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0#selectL"
"ㄊ","ㄊㄠ","饕","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0#selectL"
"ㄊ","ㄊㄠˇ","討","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0%CB%87#selectL"
"ㄊ","ㄊㄠˊ","桃","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0%CB%8A#selectL"
"ㄊ","ㄊㄠˊ","逃","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0%CB%8A#selectL"
"ㄊ","ㄊㄠˊ","啕","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0%CB%8A#selectL"
"ㄊ","ㄊㄠˊ","淘","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0%CB%8A#selectL"
"ㄊ","ㄊㄠˊ","陶","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0%CB%8A#selectL"
"ㄊ","ㄊㄠˊ","萄","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0%CB%8A#selectL"
"ㄊ","ㄊㄠˊ","濤","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0%CB%8A#selectL"
"ㄊ","ㄊㄠˊ","燾","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0%CB%8A#selectL"
"ㄊ","ㄊㄠˋ","套","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A0%CB%8B#selectL"
"ㄊ","ㄊㄡ","偷","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A1#selectL"
"ㄊ","ㄊㄡˊ","投","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A1%CB%8A#selectL"
"ㄊ","ㄊㄡˊ","骰","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A1%CB%8A#selectL"
"ㄊ","ㄊㄡˊ","頭","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A1%CB%8A#selectL"
"ㄊ","ㄊㄡˋ","透","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A1%CB%8B#selectL"
"ㄊ","ㄊㄢ","坍","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2#selectL"
"ㄊ","ㄊㄢ","貪","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2#selectL"
"ㄊ","ㄊㄢ","攤","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2#selectL"
"ㄊ","ㄊㄢ","灘","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2#selectL"
"ㄊ","ㄊㄢ","癱","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A2#selectL"
