"FrequencyRank","ImageId","OutputFile","Words","Combination","Character","Status","SelectionRule","SourceUrl"
"479","img-00057","assets/gallery/generated/img-00057.png","葉子","ㄧㄝˋ","葉","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%9D%CB%8B&word=%E8%91%89"
"483","img-00027","assets/gallery/generated/img-00027.png","玩具","ㄨㄢˊ","玩","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A8&SN2=%E3%84%A8%E3%84%A2%CB%8A&word=%E7%8E%A9"
"491","img-00047","assets/gallery/generated/img-00047.png","鳥窩","ㄋㄧㄠˇ","鳥","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8B&SN2=%E3%84%8B%E3%84%A7%E3%84%A0%CB%87&word=%E9%B3%A5"
"520","img-00056","assets/gallery/generated/img-00056.png","腳趾","ㄐㄧㄠˇ","腳","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%A0%CB%87&word=%E8%85%B3"
"550","img-00008","assets/gallery/generated/img-00008.png","牛奶","ㄋㄧㄡˊ","牛","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8B&SN2=%E3%84%8B%E3%84%A7%E3%84%A1%CB%8A&word=%E7%89%9B"
"550","img-00009","assets/gallery/generated/img-00009.png","牛肉","ㄋㄧㄡˊ","牛","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8B&SN2=%E3%84%8B%E3%84%A7%E3%84%A1%CB%8A&word=%E7%89%9B"
"569","img-00001","assets/gallery/generated/img-00001.png","午餐","ㄨˇ","午","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A8&SN2=%E3%84%A8%CB%87&word=%E5%8D%88"
"577","img-00041","assets/gallery/generated/img-00041.png","彩虹","ㄘㄞˇ","彩","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%98&SN2=%E3%84%98%E3%84%9E%CB%87&word=%E5%BD%A9"
"580","img-00042","assets/gallery/generated/img-00042.png","晚餐","ㄨㄢˇ","晚","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A8&SN2=%E3%84%A8%E3%84%A2%CB%87&word=%E6%99%9A"
"685","img-00065","assets/gallery/generated/img-00065.png","嘴巴","ㄗㄨㄟˇ","嘴","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%97&SN2=%E3%84%97%E3%84%A8%E3%84%9F%CB%87&word=%E5%98%B4"
"700","img-00046","assets/gallery/generated/img-00046.png","野餐","ㄧㄝˇ","野","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%9D%CB%87&word=%E9%87%8E"
"707","img-00055","assets/gallery/generated/img-00055.png","睡覺","ㄕㄨㄟˋ","睡","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8%E3%84%9F%CB%8B&word=%E7%9D%A1"
"709","img-00023","assets/gallery/generated/img-00023.png","房子","ㄈㄤˊ","房","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%88&SN2=%E3%84%88%E3%84%A4%CB%8A&word=%E6%88%BF"
"719","img-00037","assets/gallery/generated/img-00037.png","桌子","ㄓㄨㄛ","桌","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A8%E3%84%9B&word=%E6%A1%8C"
"741","img-00019","assets/gallery/generated/img-00019.png","兔子","ㄊㄨˋ","兔","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A8%CB%8B&word=%E5%85%94"
"745","img-00033","assets/gallery/generated/img-00033.png","香蕉","ㄒㄧㄤ","香","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%A4&word=%E9%A6%99"
"756","img-00044","assets/gallery/generated/img-00044.png","蛋黃","ㄉㄢˋ","蛋","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A2%CB%8B&word=%E8%9B%8B"
"756","img-00045","assets/gallery/generated/img-00045.png","蛋糕","ㄉㄢˋ","蛋","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A2%CB%8B&word=%E8%9B%8B"
"776","img-00014","assets/gallery/generated/img-00014.png","耳朵","ㄦˇ","耳","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A6&SN2=%E3%84%A6%CB%87&word=%E8%80%B3"
"814","img-00032","assets/gallery/generated/img-00032.png","洗手","ㄒㄧˇ","洗","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%CB%87&word=%E6%B4%97"
"867","img-00040","assets/gallery/generated/img-00040.png","剪刀","ㄐㄧㄢˇ","剪","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%A2%CB%87&word=%E5%89%AA"
"874","img-00063","assets/gallery/generated/img-00063.png","餅乾","ㄅㄧㄥˇ","餅","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%A7%E3%84%A5%CB%87&word=%E9%A4%85"
"879","img-00022","assets/gallery/generated/img-00022.png","姐姐","ㄐㄧㄝˇ","姐","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%9D%CB%87&word=%E5%A7%90"
"888","img-00070","assets/gallery/generated/img-00070.png","橡皮","ㄒㄧㄤˋ","橡","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%A4%CB%8B&word=%E6%A9%A1"
"890","img-00011","assets/gallery/generated/img-00011.png","冰棒","ㄅㄧㄥ","冰","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%A7%E3%84%A5&word=%E5%86%B0"
"926","img-00051","assets/gallery/generated/img-00051.png","窗戶","ㄔㄨㄤ","窗","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%94&SN2=%E3%84%94%E3%84%A8%E3%84%A4&word=%E7%AA%97"
"1014","img-00064","assets/gallery/generated/img-00064.png","鼻子","ㄅㄧˊ","鼻","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%A7%CB%8A&word=%E9%BC%BB"
"1026","img-00069","assets/gallery/generated/img-00069.png","鞋子","ㄒㄧㄝˊ","鞋","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%9D%CB%8A&word=%E9%9E%8B"
"1036","img-00060","assets/gallery/generated/img-00060.png","鉛筆","ㄑㄧㄢ","鉛","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%91&SN2=%E3%84%91%E3%84%A7%E3%84%A2&word=%E9%89%9B"
